,Name,Mileage (mi/day),Car Owners,Prices ($),No of Reviews,Insurance Fee,Image URL,Description,7 Days discount,30 Days discount
0,2020 Corolla Toyota,1000.0,House of,50.0,0,20.91,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/54a865e2-a259-498a-9ef1-0b6a8f9c219f?p=web.offer.detail.carrousel.fullscreen,Ride share or delivery ,,
1,2013 Corolla Toyota,1000.0,House of,45.0,6,20.31,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/309d0478-4695-4a75-8946-62a049d0a86e?p=web.offer.detail.carrousel.fullscreen,Delivery or rideshare ,,
2,2020 Corolla Toyota,1000.0,Min,49.0,0,20.79,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/9f3115b2-76d5-49f6-9307-2a1dd2973d10?p=web.offer.detail.carrousel.fullscreen,"2020 Toyota corolla
 Adaptive Cruise Control, ** Alloy Wheels / Premium Wheels, ** Backup Camera, ** Bluetooth, Hands-Free, ** Brake Assist, ** Heated Seats, ** Keyless Entry, ** Keyless Start, ** Lane Departure Warning, ** Navigation System, ** Premium Sound System / Premium Audio, 

No smoking or pets please!
No smoking or pets please.
This vehicle is equipped with an air tag for security measures, thanks",3.0,5.0
3,2017 Corolla Toyota,1000.0,House of,45.0,1,20.31,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/f3b11a5b-1b02-4870-8edc-2de795105007?p=web.offer.detail.carrousel.fullscreen,"** Rideshare and Delivery
For ride share or deliveries",,
4,2018 Corolla Toyota,1000.0,House of,50.0,4,20.91,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/44f17626-79f1-4e29-b2a0-529de01e2f97?p=web.offer.detail.carrousel.fullscreen,Ride share or delivery ,,
5,2014 Corolla Toyota,1000.0,House of,50.0,1,20.91,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/4869144d-2707-4b28-813d-7cfb3431b169?p=web.offer.detail.carrousel.fullscreen,Ride share or delivery ,,
6,2012 Prius Toyota,550.0,RENT IT NOW,42.0,1,19.95,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/0e8d1f14-124d-4122-92c9-dc7853b07c75?p=web.offer.detail.carrousel.fullscreen,"Ready for Ridshare 
Very Good in milage
Leather Seats",1.0,3.0
7,2011 Corolla Toyota,1000.0,House of,45.0,3,20.31,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/662c8e67-c2ae-4ad4-bbd9-d39a57709374?p=web.offer.detail.carrousel.fullscreen,Ride share or delivery,,
8,2018 Equinox Chevrolet,1000.0,Ruby crown,54.0,3,21.39,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/c381f2de-a4ab-42dc-bb74-23277763636e?p=web.offer.detail.carrousel.fullscreen,"** Rideshare and Delivery
Great vehicle",5.0,10.0
9,2015 Camry Toyota,500.0,Leap,47.0,0,20.55,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/c3bd3311-9497-46ee-a73c-e2e575d104e1?p=web.offer.detail.carrousel.fullscreen,"*** Delivery Only ***Do you want to save money on gas? This vehicle is perfect for that, toyota camry 2015 HYBRID. Minimum of 3 day lease.",5.0,10.0
10,2013 Camry Toyota,1000.0,Dumka,45.0,3,20.31,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/372cf317-5c32-43e7-a6de-da0591aff32b?p=web.offer.detail.carrousel.fullscreen,**  Rideshare & Delivery,,
11,2015 Camry Toyota,350.0,Leap,47.0,0,20.55,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/04cc5749-4ead-47e2-9abf-68406fc3fb5b?p=web.offer.detail.carrousel.fullscreen,"** Rideshare and Delivery.  A clean, cost effective and dependable Uber vehicle.    Minimum 3 day rental.",5.0,10.0
12,2024 Trax Chevrolet,1000.0,,70.0,1,,https://d1faaofv0bplxp.cloudfront.net/car_placeholder_image.svg,"Hello , my new fleet is here and I have brand new vehicles for you to be the first to drive in . Here at Ruby Crown llc we given new quality vehicles to our customers to excel and whatever they choose to use the car for rather it’s for vacation or business . Book now before it’s to late.",,
13,2014 Prius V Toyota,500.0,Leap,45.0,0,20.31,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/3967dd02-43d4-41ad-9ab8-3a7f95a792c4?p=web.offer.detail.carrousel.fullscreen,"Toyota Prius in very good condition. Lease this vehicle to earn money driving for uber - lyft or for your own personal use!  Great gas milage, great trunk space, Very clean!  3 day rental minimum.",3.0,8.0
14,2014 PRIUS Toyota,500.0,RENT IT NOW,40.0,1,19.71,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/eb07f6c0-a0e8-4a34-944d-942934e83735?p=web.offer.detail.carrousel.fullscreen,"Rear Camera 
Neat and Clean

RIDESHARE & DELIVERY ",3.0,5.0
15,2022 Forte Kia,1000.0,Ruby crown,59.0,1,21.99,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/5559f2dc-d1b2-425b-b41d-566f0d6a3fe3?p=web.offer.detail.carrousel.fullscreen,Clean Brand new car !! Great on gas !!! ,5.0,10.0
16,2012 Corolla Toyota,1000.0,braulio,45.0,8,20.31,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/274ca87d-a356-4f84-b1ad-d76a32929707?p=web.offer.detail.carrousel.fullscreen,,5.0,10.0
17,2012 Sentra Nissan,1000.0,Samuel,40.0,0,19.71,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/02b2e419-4c30-4735-a0b2-ac7ab9b39c2a?p=web.offer.detail.carrousel.fullscreen,"** Rideshare and Delivery
Save reliable car that’s great for door dash drivers… drives smoothly and is great on gas.",5.0,10.0
18,2012 Focus Ford,1000.0,Johnny,35.0,5,19.11,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/26c23e83-920a-4876-9b2a-cf3eedcccab5?p=web.offer.detail.carrousel.fullscreen,"HID Upgraded Lights 
Brand New Tires 
Brand New Brake 
Brand New Suspension 
Brand New Battery 
Dash Camera Front + Back 

38 MPG Highway 
28 MPG City ",2.0,
19,2009 PRIUS Toyota,350.0,RENT IT NOW,40.0,1,19.71,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/100b26fb-bfc8-4891-9868-c14300b74422?p=web.offer.detail.carrousel.fullscreen,,1.0,3.0
20,2012 Camry Toyota,1000.0,,45.0,2,20.31,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/2d64a3f0-5c07-4f3c-b4d3-69b483f9c3a2?p=web.offer.detail.carrousel.fullscreen,"We have a Fleet of cars. We do maintenance regularly. This car is clean, reliable and ready to driver for Uber / Lyft. Hybrid car good on gas. Need to agree with terms for use of our car and $25 Deposit for Tolls. We may pick you up from Cumberland / Rosemont Blueline Station or nearby Metra Station (Mon-Fri between 9 to 5 pm).",,
21,2011 CR-V Honda,1000.0,braulio,49.0,3,20.79,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/4ecf0bf2-c4a1-4b46-9e9b-3bbc5ee38ea5?p=web.offer.detail.carrousel.fullscreen,"Nice looking car, very roomy for delivering, 
Gas saver vehicle, tinted windows for better privacy ",5.0,10.0
22,2014 PRIUS Toyota,1000.0,Michael,45.0,4,20.31,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/3f5a6eb5-91ee-404e-8aeb-fe574600bde4?p=web.offer.detail.carrousel.fullscreen,"Uber and Lyft ready ! 
Great price for long term rentals 


2014 Toyota Prius in excellent condition. Hybrid engine getting excellent fuel economy (50+ mpg), perfect for maximizing rideshare profits. Bluetooth connectivity. Spacious cabin. Tinted windows. ",5.0,10.0
23,2009 Malibu Chevrolet,300.0,,43.0,1,20.07,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/6f8eadea-3dff-41fd-83d4-835cd3c4d444?p=web.offer.detail.carrousel.fullscreen,"This is a great reliable family car. It has air conditioner, radio, Bluetooth speaker, heat, and automatic windows. It’s a great gas saver. You can fit four passengers in the back seat comfortably with great truck space. ",3.0,5.0
24,2022 Spark Chevrolet,1000.0,Ruby crown,54.0,0,21.39,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/76ebcafc-6534-4ee9-a366-a29a95e65f7d?p=web.offer.detail.carrousel.fullscreen,Back Bumper missing deliveries only* to be new chevy spark that make sense all the way around the board.Delivery Only,5.0,10.0
25,2011 Jetta Volkswagen,500.0,SCALENE AUTO GROUP,38.0,0,19.47,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/7f216934-1c90-4fb5-abb2-37ac2681ed9a?p=web.offer.detail.carrousel.fullscreen,,,
26,2018 Corolla Toyota,1000.0,,41.0,3,19.83,https://static.hyrecar.com/https://s3.amazonaws.com/hyreprod/cars/4980cc64-c10e-42b1-b009-281dad33e6c6?p=web.offer.detail.carrousel.fullscreen,"Office Hours: Mon-Sat 9am-6pm. Ride-share and Delivery ,MPG: Up to 30 city / 40 highway. Don't worry about taking time out of your rental period and cleaning the car before returning it. We have an onsite carwash that will clean it inside/out for $40",10.0,10.0
